respondent_id,categories
R001,"Техподдержка,Стабильность/баги"
R002,Доставка/сроки
R003,Стабильность/баги
R004,Техподдержка
R005,Интеграции
R006,"UX/интерфейс,Onboarding/обучение"
R007,Цены/тарифы
R008,Аналитика/отчёты
R009,Стабильность/баги
R010,Миграция
R011,Функционал
R012,"Миграция,Безопасность данных"
R013,Onboarding/обучение
R014,Доставка/сроки
R015,Функционал
R016,Техподдержка
R017,Функционал
R018,"UX/интерфейс,Стабильность/баги"
R019,Цены/тарифы
R020,Миграция
R021,Цены/тарифы
R022,Функционал
R023,Функционал
R024,Доставка/сроки
R025,Функционал
R026,Onboarding/обучение
R027,Техподдержка
R028,UX/интерфейс
R029,Цены/тарифы
R030,Аналитика/отчёты
R031,Миграция
R032,Доставка/сроки
R033,Функционал
R034,Цены/тарифы
R035,UX/интерфейс
R036,Интеграции
R037,Техподдержка
R038,Интеграции
R039,Onboarding/обучение
R040,Доставка/сроки
R041,Стабильность/баги
R042,Безопасность данных
R043,Функционал
R044,UX/интерфейс
R045,Функционал
R046,Функционал
R047,Цены/тарифы
R048,Интеграции
R049,Техподдержка
R050,Стабильность/баги
R051,Аналитика/отчёты
R052,Техподдержка
R053,Функционал
R054,Доставка/сроки
R055,Интеграции
R056,Функционал
R057,Техподдержка
R058,Функционал
R059,"Стабильность/баги,Техподдержка"
R060,Цены/тарифы
R061,Функционал
R062,Функционал
R063,Техподдержка
R064,Функционал
R065,Доставка/повреждения
R066,Цены/тарифы
R067,Функционал
R068,Техподдержка
R069,Цены/тарифы
R070,Функционал
R071,UX/интерфейс
R072,Onboarding/обучение
R073,Доставка/сроки
R074,Функционал
R075,Техподдержка
R076,Функционал
R077,Функционал
R078,Цены/тарифы
R079,Функционал
R080,Доставка/сроки
R081,"Onboarding/обучение,Функционал"
R082,Интеграции
R083,Цены/тарифы
R084,Функционал
R085,UX/интерфейс
R086,Функционал
R087,Техподдержка
R088,Функционал
R089,Функционал
R090,Цены/тарифы
R091,Аналитика/отчёты
R092,Функционал
R093,Доставка/сроки
R094,Onboarding/обучение
R095,Интеграции
R096,Функционал
R097,Безопасность данных
R098,Функционал
R099,Функционал
R100,Техподдержка
R101,Доставка/сроки
R102,Безопасность данных
R103,Миграция
R104,Стабильность/баги
R105,Цены/тарифы
R106,Техподдержка
R107,Функционал
R108,Интеграции
R109,Функционал
R110,Доставка/повреждения
R111,Техподдержка
R112,Интеграции
R113,Функционал
R114,Onboarding/обучение
R115,Цены/тарифы
R116,Функционал
R117,Аналитика/отчёты
R118,Техподдержка
R119,Доставка/повреждения
R120,Функционал
R121,Функционал
R122,Безопасность данных
R123,Доставка/сроки
R124,UX/интерфейс
R125,Техподдержка
R126,Функционал
R127,"Интеграции,Аналитика/отчёты"
R128,Доставка/сроки
R129,Функционал
R130,Функционал
R131,Безопасность данных
R132,Техподдержка
R133,Цены/тарифы
R134,Аналитика/отчёты
R135,UX/интерфейс
R136,Цены/тарифы
R137,Интеграции
R138,Доставка/сроки
R139,Функционал
R140,Функционал
R141,Миграция
R142,Техподдержка
R143,Цены/тарифы
R144,Функционал
R145,Интеграции
R146,Доставка/повреждения
R147,Функционал
R148,Функционал
R149,"Техподдержка,Onboarding/обучение"
R150,Функционал
R151,"Интеграции,Функционал"
R152,Функционал
R153,Техподдержка
R154,Доставка/повреждения
R155,Аналитика/отчёты
R156,Стабильность/баги
R157,Цены/тарифы
R158,Аналитика/отчёты
R159,Функционал
R160,Функционал
R161,UX/интерфейс
R162,Техподдержка
R163,Функционал
R164,Функционал
R165,Техподдержка
R166,UX/интерфейс
R167,Доставка/сроки
R168,Функционал
R169,UX/интерфейс
R170,Onboarding/обучение
R171,Функционал
R172,"Стабильность/баги,Безопасность данных"
R173,Техподдержка
R174,Функционал
R175,Цены/тарифы
R176,Аналитика/отчёты
R177,Техподдержка
R178,Доставка/сроки
R179,Безопасность данных
R180,Стабильность/баги
R181,Функционал
R182,Функционал
R183,Доставка/сроки
R184,Интеграции
R185,Техподдержка
R186,Функционал
R187,UX/интерфейс
R188,Интеграции
R189,Цены/тарифы
R190,"Миграция,Безопасность данных"
R191,Функционал
R192,Функционал
R193,Доставка/повреждения
R194,Цены/тарифы
R195,Аналитика/отчёты
R196,Техподдержка
R197,Функционал
R198,Функционал
R199,Цены/тарифы
R200,Доставка/сроки
R201,Функционал
R202,Функционал
R203,Техподдержка
R204,Интеграции
R205,Функционал
R206,Функционал
R207,Техподдержка
R208,Доставка/сроки
R209,Функционал
R210,Доставка/повреждения
R211,Функционал
R212,Функционал
R213,Стабильность/баги
R214,UX/интерфейс
R215,Техподдержка
R216,Стабильность/баги
R217,Цены/тарифы
R218,Техподдержка
R219,Функционал
R220,Функционал
R221,Техподдержка
R222,Функционал
R223,Функционал
R224,Стабильность/баги
R225,Доставка/сроки
R226,Интеграции
R227,Функционал
R228,Цены/тарифы
R229,Функционал
R230,Функционал
R231,Функционал
R232,Цены/тарифы
R233,"UX/интерфейс,Стабильность/баги"
R234,Функционал
R235,Доставка/повреждения
R236,Функционал
R237,Onboarding/обучение
R238,Функционал
R239,Безопасность данных
R240,Техподдержка
R241,Функционал
R242,Доставка/сроки
R243,Интеграции
R244,Цены/тарифы
R245,Техподдержка
R246,Функционал
R247,Функционал
R248,Функционал
R249,Функционал
R250,"UX/интерфейс,Onboarding/обучение"
R251,UX/интерфейс
R252,Аналитика/отчёты
R253,Доставка/сроки
R254,Функционал
R255,Функционал
R256,Функционал
R257,Аналитика/отчёты
R258,Функционал
R259,Стабильность/баги
R260,Техподдержка
R261,Доставка/сроки
R262,Функционал
R263,UX/интерфейс
R264,Функционал
R265,Техподдержка
R266,Аналитика/отчёты
R267,Функционал
R268,Интеграции
R269,UX/интерфейс
R270,Доставка/сроки
R271,Интеграции
R272,Onboarding/обучение
R273,Техподдержка
R274,Функционал
R275,Функционал
R276,Доставка/сроки
R277,Функционал
R278,Функционал
R279,UX/интерфейс
R280,Функционал
R281,Доставка/повреждения
R282,Функционал
R283,Функционал
R284,Функционал
R285,Техподдержка
R286,Функционал
R287,Стабильность/баги
R288,"Стабильность/баги,Техподдержка"
R289,Функционал
R290,Цены/тарифы
R291,Функционал
R292,Функционал
R293,"Интеграции,Onboarding/обучение"
R294,Функционал
R295,Техподдержка
R296,Функционал
R297,Функционал
R298,Цены/тарифы
R299,Доставка/сроки
R300,Функционал
