deal_id;date;client;status;revenue;direct_cost;owner
S-001;2026-06-02;Альфа Логистик;оплачено;480000;295000;Ирина
S-002;2026-06-04;Вектор Медиа;оплачено;220000;126000;Максим
S-003;2026-06-07;Нева Ритейл;счет выставлен;390000;210000;Ирина
S-004;2026-06-10;ПромЭнерго;оплачено;760000;505000;Олег
S-005;2026-06-14;СеверСтрой;переговоры;540000;315000;Максим
S-006;2026-06-17;ФармЛайн;оплачено;310000;205000;Олег
S-007;2026-06-21;ТехноДом;отказ;180000;0;Ирина
S-008;2026-06-25;Орбита Фуд;счет выставлен;620000;388000;Олег
S-009;2026-06-27;ДатаПро;оплачено;270000;164000;Максим
S-010;2026-06-30;ГрандСервис;переговоры;430000;252000;Ирина
