respondent_id,sentiment,intensity
R001,позитивная,средняя
R002,негативная,высокая
R003,нейтральная,низкая
R004,негативная,высокая
R005,позитивная,высокая
R006,нейтральная,средняя
R007,негативная,высокая
R008,позитивная,средняя
R009,негативная,средняя
R010,позитивная,высокая
R011,нейтральная,низкая
R012,негативная,высокая
R013,позитивная,средняя
R014,негативная,средняя
R015,позитивная,низкая
R016,негативная,средняя
R017,позитивная,высокая
R018,негативная,средняя
R019,негативная,средняя
R020,позитивная,средняя
R021,негативная,высокая
R022,позитивная,средняя
R023,нейтральная,низкая
R024,негативная,средняя
R025,позитивная,низкая
R026,позитивная,высокая
R027,негативная,средняя
R028,нейтральная,средняя
R029,негативная,средняя
R030,позитивная,высокая
R031,позитивная,средняя
R032,негативная,высокая
R033,позитивная,средняя
R034,негативная,высокая
R035,нейтральная,низкая
R036,позитивная,высокая
R037,негативная,средняя
R038,позитивная,средняя
R039,нейтральная,средняя
R040,негативная,средняя
R041,позитивная,средняя
R042,негативная,высокая
R043,позитивная,низкая
R044,негативная,средняя
R045,позитивная,средняя
R046,нейтральная,низкая
R047,негативная,средняя
R048,позитивная,высокая
R049,нейтральная,средняя
R050,негативная,средняя
R051,позитивная,высокая
R052,негативная,высокая
R053,позитивная,средняя
R054,негативная,средняя
R055,позитивная,низкая
R056,нейтральная,низкая
R057,негативная,средняя
R058,позитивная,высокая
R059,нейтральная,средняя
R060,негативная,средняя
R061,позитивная,высокая
R062,позитивная,средняя
R063,негативная,высокая
R064,позитивная,низкая
R065,негативная,высокая
R066,нейтральная,низкая
R067,позитивная,высокая
R068,негативная,средняя
R069,негативная,высокая
R070,позитивная,средняя
R071,нейтральная,средняя
R072,позитивная,высокая
R073,негативная,средняя
R074,позитивная,средняя
R075,негативная,высокая
R076,нейтральная,низкая
R077,позитивная,высокая
R078,негативная,средняя
R079,позитивная,средняя
R080,негативная,высокая
R081,нейтральная,средняя
R082,позитивная,высокая
R083,негативная,высокая
R084,позитивная,средняя
R085,негативная,низкая
R086,позитивная,высокая
R087,негативная,высокая
R088,нейтральная,низкая
R089,позитивная,средняя
R090,негативная,высокая
R091,нейтральная,средняя
R092,позитивная,средняя
R093,негативная,средняя
R094,негативная,средняя
R095,позитивная,средняя
R096,позитивная,высокая
R097,негативная,высокая
R098,нейтральная,низкая
R099,позитивная,средняя
R100,негативная,средняя
R101,негативная,средняя
R102,позитивная,средняя
R103,позитивная,низкая
R104,нейтральная,средняя
R105,негативная,средняя
R106,негативная,высокая
R107,позитивная,высокая
R108,позитивная,средняя
R109,нейтральная,низкая
R110,негативная,высокая
R111,негативная,средняя
R112,позитивная,высокая
R113,позитивная,средняя
R114,нейтральная,средняя
R115,негативная,средняя
R116,позитивная,высокая
R117,позитивная,средняя
R118,негативная,высокая
R119,негативная,высокая
R120,нейтральная,средняя
R121,позитивная,средняя
R122,позитивная,высокая
R123,негативная,высокая
R124,нейтральная,средняя
R125,негативная,средняя
R126,позитивная,средняя
R127,позитивная,высокая
R128,негативная,средняя
R129,нейтральная,низкая
R130,позитивная,средняя
R131,позитивная,высокая
R132,негативная,высокая
R133,негативная,средняя
R134,позитивная,средняя
R135,нейтральная,средняя
R136,негативная,высокая
R137,позитивная,высокая
R138,негативная,средняя
R139,позитивная,низкая
R140,нейтральная,низкая
R141,позитивная,высокая
R142,негативная,средняя
R143,негативная,средняя
R144,позитивная,средняя
R145,нейтральная,средняя
R146,негативная,высокая
R147,позитивная,средняя
R148,позитивная,высокая
R149,негативная,высокая
R150,нейтральная,низкая
R151,позитивная,высокая
R152,позитивная,средняя
R153,негативная,средняя
R154,негативная,высокая
R155,позитивная,средняя
R156,нейтральная,средняя
R157,негативная,средняя
R158,позитивная,высокая
R159,нейтральная,низкая
R160,позитивная,средняя
R161,негативная,средняя
R162,негативная,высокая
R163,позитивная,высокая
R164,позитивная,низкая
R165,негативная,высокая
R166,нейтральная,средняя
R167,негативная,средняя
R168,позитивная,высокая
R169,позитивная,средняя
R170,негативная,средняя
R171,нейтральная,низкая
R172,позитивная,высокая
R173,негативная,средняя
R174,позитивная,средняя
R175,негативная,средняя
R176,нейтральная,средняя
R177,позитивная,высокая
R178,негативная,высокая
R179,позитивная,средняя
R180,негативная,средняя
R181,позитивная,высокая
R182,нейтральная,низкая
