order_id;customer_id;customer;planned_date;actual_date;revenue;cost;status
O-101;C-01;Альфа Логистик;2026-06-05;2026-06-05;420000;275000;completed
O-102;C-02;Нева Ритейл;2026-06-07;2026-06-09;310000;205000;completed
O-103;C-03;ПромЭнерго;2026-06-10;2026-06-10;780000;510000;completed
O-104;C-04;МедСнаб;2026-06-12;2026-06-15;260000;284000;completed
O-105;C-01;Альфа Логистик;2026-06-14;2026-06-13;190000;112000;completed
O-106;C-05;СеверСтрой;2026-06-18;2026-06-18;540000;360000;completed
O-107;C-03;ПромЭнерго;2026-06-20;2026-06-24;640000;425000;completed
O-108;C-06;Орбита Фуд;2026-06-21;;350000;87000;cancelled
O-109;C-02;Нева Ритейл;2026-06-25;2026-06-25;280000;176000;completed
O-110;C-07;ТехноДом;2026-06-27;;460000;210000;in_progress
O-111;C-05;СеверСтрой;2026-06-28;2026-06-29;330000;218000;completed
O-112;C-08;ФармЛайн;2026-06-30;;520000;245000;in_progress
