ticket_id;customer_id;priority;created_at;first_response_hours;resolution_hours;status;topic
T-201;C-01;P2;2026-06-03 09:10;1.5;7;closed;Интеграция API
T-202;C-02;P3;2026-06-06 11:40;6;18;closed;Вопрос по документам
T-203;C-03;P1;2026-06-09 08:20;1.2;5;closed;Недоступен личный кабинет
T-204;C-04;P2;2026-06-11 14:05;3.5;22;closed;Ошибка в комплектации
T-205;C-01;P3;2026-06-13 16:15;5;12;closed;Смена контактного лица
T-206;C-05;P2;2026-06-17 10:00;2;9;closed;Нет статуса доставки
T-207;C-03;P1;2026-06-19 07:50;0.8;4;closed;Повторный сбой кабинета
T-208;C-06;P3;2026-06-20 12:30;7;20;closed;Условия отмены
T-209;C-04;P2;2026-06-22 09:45;5.2;28;closed;Претензия по качеству
T-210;C-07;P2;2026-06-26 13:20;1;0;open;Срок запуска
T-211;C-08;P3;2026-06-28 17:00;4;0;open;Запрос инструкции
T-212;C-05;P1;2026-06-29 06:40;2.1;11;closed;Остановка отгрузки
